run,planner,success_rate,plan_0/success_rate,plan_0/mean_state_dist,plan_0/mean_visual_dist,plan_0/mean_proprio_dist,plan_0/mean_div_visual_emb,plan_0/mean_div_proprio_emb,step,mean_state_dist,mean_visual_dist,mean_proprio_dist,mean_div_visual_emb,mean_div_proprio_emb
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,0.26,,,,,,,,1.0184407935264135,0.5659134513180272,0.4262863099575043,334.4662170410156,9.100231170654297
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.135,1.4544063389161526,0.5647298177083333,0.5916879177093506,1000.2666015625,23.826831817626953,1,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.07,1.3600298248523865,0.5703447863520408,0.5486370921134949,923.281494140625,23.366235733032227,2,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.055,1.3079246132436797,0.5802923376381802,0.530373752117157,829.7570190429688,21.39715003967285,3,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.035,1.2544526654840589,0.5867942176870748,0.5070136785507202,774.2189331054688,21.05881690979004,4,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.02,1.1790742445023974,0.5844202407525511,0.48492586612701416,754.3894653320312,20.69554328918457,5,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.085,1.110103987867656,0.5774555896577381,0.46055346727371216,760.37548828125,20.06283950805664,6,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.09,1.0942681600006572,0.5823595277954932,0.447051078081131,739.112060546875,19.424116134643555,7,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.135,1.0615786012869455,0.5771887622236395,0.4334816634654999,723.8406982421875,18.748544692993164,8,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.185,1.0268634604811837,0.5726133343962585,0.4211221933364868,691.8265991210938,18.537479400634766,9,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.23,0.9911057826598231,0.570158309417517,0.409818559885025,702.6182250976562,18.098628997802734,10,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,0.23,,,,,,,,0.9911057826598231,0.570158309417517,0.409818559885025,702.6182250976562,18.098628997802734
pointmaze_lowdata_finetune_a100_seed0,cem,,0.14,1.5078630079160096,0.5538632015306122,0.6057020425796509,526.8370361328125,13.225398063659668,1,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.06,1.416256274084902,0.5645709768282313,0.5709625482559204,467.1872253417969,10.873214721679688,2,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.1,1.3722458986878303,0.5658852838010204,0.5532727241516113,434.27008056640625,10.139564514160156,3,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.06,1.34090706827773,0.5735279815051021,0.5506507158279419,366.1574401855469,9.490717887878418,4,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.04,1.2945651563409766,0.5769622927295919,0.5399236679077148,385.05181884765625,9.483267784118652,5,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.0,1.2085131788268253,0.5722055697278912,0.5044901967048645,340.4150085449219,8.896600723266602,6,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.14,1.1448406666359947,0.5709080038265306,0.4753779172897339,366.1378173828125,9.084588050842285,7,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.16,1.025814205241413,0.5662555803571429,0.43865257501602173,354.52374267578125,8.093454360961914,8,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.22,0.9992510831090885,0.5598214285714286,0.42539992928504944,351.9124755859375,8.09800910949707,9,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.34,0.9977116949366054,0.5482340826955783,0.4261144995689392,378.141845703125,8.247718811035156,10,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,0.34,,,,,,,,0.9977116949366054,0.5482340826955783,0.4261144995689392,378.141845703125,8.247718811035156
pointmaze_lowdata_finetune_a100_seed0,cem,,0.135,1.4544063389161526,0.5647298177083333,0.5916879177093506,1000.2666015625,23.826831817626953,1,,,,,
pointmaze_lowdata_finetune_a100_seed0,cem,,0.07,1.3600298248523865,0.5703447863520408,0.5486370921134949,923.281494140625,23.366235733032227,2,,,,,
